"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000116406",0.999008209499928,0.100325021709523
"ENSG00000118965",0.999008209499928,0.214979074147959
"ENSG00000116717",0.999008209499928,0.141886725443412
"ENSG00000143669",0.999008209499928,0.0629760516979304
"ENSG00000196352",0.999008209499928,0.0706065423050973
"ENSG00000160789",0.999008209499928,0.23302071989366
"ENSG00000116641",0.999008209499928,0.00148133265098897
"ENSG00000120334",0.999008209499928,0.0656679716367825
"ENSG00000116260",0.999008209499928,0.430561086139761
"ENSG00000204160",0.999008209499928,0.344846835071315
"ENSG00000197056",0.999008209499928,0.0169841236794971
"ENSG00000160741",0.999008209499928,0.0522403511771097
"ENSG00000154370",0.999008209499928,0.0769800671440066
"ENSG00000143224",0.999008209499928,0.00974514484698459
"ENSG00000117000",0.999008209499928,0.165772165656713
"ENSG00000116977",0.999008209499928,0.341767641457648
"ENSG00000173409",0.999008209499928,0.988367358248162
"ENSG00000171680",0.999008209499928,0.908925775305942
"ENSG00000143630",0.999008209499928,0.00443320544372341
"ENSG00000132128",0.999008209499928,0.748265134398425
"ENSG00000162695",0.999008209499928,0.465093039271598
"ENSG00000134262",0.999008209499928,0.423472847482486
"ENSG00000085491",0.999008209499928,0.0744803768174926
"ENSG00000132485",0.999008209499928,4.97610179771345e-07
"ENSG00000173207",0.999008209499928,0.0111879472627073
"ENSG00000143575",0.999008209499928,0.0124184496992867
"ENSG00000134698",0.999008209499928,0.109970361282324
"ENSG00000160785",0.999008209499928,0.912484515766096
"ENSG00000117151",0.999008209499928,0.0497186850525941
"ENSG00000169598",0.999008209499928,0.627109172023385
"ENSG00000136628",0.999008209499928,0.72153297317921
"ENSG00000162407",0.999008209499928,0.942264797122788
"ENSG00000171735",0.999008209499928,0.688464818591842
"ENSG00000126067",0.999008209499928,0.100360860982588
"ENSG00000143256",0.999008209499928,0.044097157581796
"ENSG00000134243",0.999008209499928,0.0316710988881007
"ENSG00000197530",0.999008209499928,0.718691969466754
"ENSG00000242485",0.999008209499928,0.0115302110014445
"ENSG00000119772",0.999008209499928,0.0611867536267446
"ENSG00000065183",0.999008209499928,0.522489692528634
"ENSG00000143155",0.999008209499928,0.362067084610299
"ENSG00000126698",0.999008209499928,0.0175541359770785
"ENSG00000123684",0.999008209499928,0.250565990079628
"ENSG00000143079",0.999008209499928,0.887139947659592
"ENSG00000143033",0.999008209499928,0.00865485278647066
"ENSG00000162384",0.999008209499928,0.507851838651027
"ENSG00000116205",0.999008209499928,0.325712454537934
"ENSG00000117143",0.999008209499928,0.420585686541946
"ENSG00000162433",0.999008209499928,0.306237103793565
"ENSG00000171621",0.999008209499928,0.335061506203892
"ENSG00000163349",0.999008209499928,0.222162907535309
"ENSG00000123080",0.999008209499928,0.0201285285895216
"ENSG00000007968",0.999008209499928,0.277715415816448
"ENSG00000162704",0.999008209499928,0.901729524991647
"ENSG00000162600",0.999008209499928,0.10441682808674
"ENSG00000160783",0.999008209499928,0.0900114741322862
"ENSG00000084676",0.999008209499928,0.110248349783515
"ENSG00000117500",0.999008209499928,0.958862663365514
"ENSG00000116688",0.999008209499928,0.519568005962378
"ENSG00000136631",0.999008209499928,0.175460928586234
"ENSG00000090621",0.999008209499928,0.480485752173282
"ENSG00000203667",0.999008209499928,0.0525490929646547
"ENSG00000075391",0.999008209499928,0.651522493105779
"ENSG00000134324",0.999008209499928,0.0610360893193089
"ENSG00000162521",0.999008209499928,0.0757017400598849
"ENSG00000007923",0.999008209499928,0.488789369480576
"ENSG00000178585",0.999008209499928,0.388433308244101
"ENSG00000117308",0.999008209499928,0.212067215248898
"ENSG00000084073",0.999008209499928,0.119186434875642
"ENSG00000143294",0.999008209499928,0.332319721956054
