"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000116406",0.852351138600847,0.0354147326634617
"ENSG00000118965",0.451338540243922,0.105784239082638
"ENSG00000116717",0.302995080107104,0.0586652019362044
"ENSG00000143669",0.394260651926174,0.0173184142169309
"ENSG00000196352",0.943668964702734,0.0206358734447077
"ENSG00000160789",0.732534909879596,0.118840567145767
"ENSG00000116641",0.752065653545329,8.29546284553826e-05
"ENSG00000120334",0.550723183104822,0.0183870320582991
"ENSG00000116260",0.476863424092591,0.277711900560146
"ENSG00000204160",0.54496421332218,0.204149326362219
"ENSG00000197056",0.731559681190716,0.00258158679928356
"ENSG00000160741",0.754407829925448,0.0133735299013401
"ENSG00000154370",0.411867775075268,0.023863820814642
"ENSG00000143224",0.743480564875636,0.00116941738163815
"ENSG00000117000",0.542570440487686,0.0726082085576403
"ENSG00000116977",0.892599477433852,0.199880860649421
"ENSG00000173409",0.426635599144299,0.983698498070879
"ENSG00000171680",0.467995814429875,0.843514041219959
"ENSG00000143630",0.640331480167428,0.000377984409357681
"ENSG00000132128",0.470108855705911,0.637175762453287
"ENSG00000162695",0.563903093256322,0.313007615429785
"ENSG00000134262",0.839924363701918,0.272716513778721
"ENSG00000085491",0.632130590522475,0.0225963669233422
"ENSG00000132485",0.599090884870392,3.98088143817076e-09
"ENSG00000173207",0.979678136965551,0.00142086930236383
"ENSG00000143575",0.777808175060577,0.0016764907094037
"ENSG00000134698",0.902691421746096,0.041128915119589
"ENSG00000160785",0.453368157307769,0.850435568694001
"ENSG00000117151",0.209191242274026,0.0124367724352545
"ENSG00000169598",0.81976727228691,0.482874062458006
"ENSG00000136628",0.356897900952417,0.598509451975051
"ENSG00000162407",0.497165210965058,0.897036086860894
"ENSG00000171735",0.802743923395446,0.551601461370852
"ENSG00000126067",0.987096963469205,0.0356919501852612
"ENSG00000143256",0.700352430364949,0.0101395128563434
"ENSG00000134243",0.852721745454087,0.00611252208540343
"ENSG00000197530",0.656525719889121,0.592920874810072
"ENSG00000242485",0.97084055062753,0.00151353695273468
"ENSG00000119772",0.921982424931876,0.0167039837401013
"ENSG00000065183",0.764547850956823,0.370920356020875
"ENSG00000143155",0.973684240001407,0.219766283511004
"ENSG00000126698",0.159637674077276,0.00268578280449301
"ENSG00000123684",0.881415483781094,0.130795446821566
"ENSG00000143079",0.985009839770766,0.811328989458566
