samplename,description
20160825_A10_CM3415-2_S10_R1_001,20160825_A10_CM3415-2_S10_R1_001
20160825_A11_CM3415-2_S11_R1_001,20160825_A11_CM3415-2_S11_R1_001
20160825_A12_CM3415-2_S12_R1_001,20160825_A12_CM3415-2_S12_R1_001
20160825_A1_CM3415-2_S1_R1_001,20160825_A1_CM3415-2_S1_R1_001
20160825_A2_CM3415-2_S2_R1_001,20160825_A2_CM3415-2_S2_R1_001
20160825_A3_CM3415-2_S3_R1_001,20160825_A3_CM3415-2_S3_R1_001
20160825_A4_CM3415-2_S4_R1_001,20160825_A4_CM3415-2_S4_R1_001
20160825_A5_CM3415-2_S5_R1_001,20160825_A5_CM3415-2_S5_R1_001
20160825_A6_CM3415-2_S6_R1_001,20160825_A6_CM3415-2_S6_R1_001
20160825_A7_CM3415-2_S7_R1_001,20160825_A7_CM3415-2_S7_R1_001
20160825_A8_CM3415-2_S8_R1_001,20160825_A8_CM3415-2_S8_R1_001
20160825_A9_CM3415-2_S9_R1_001,20160825_A9_CM3415-2_S9_R1_001
20160825_B10_CM3415-2_S22_R1_001,20160825_B10_CM3415-2_S22_R1_001
20160825_B11_CM3415-2_S23_R1_001,20160825_B11_CM3415-2_S23_R1_001
20160825_B12_CM3415-2_S24_R1_001,20160825_B12_CM3415-2_S24_R1_001
20160825_B1_CM3415-2_S13_R1_001,20160825_B1_CM3415-2_S13_R1_001
20160825_B2_CM3415-2_S14_R1_001,20160825_B2_CM3415-2_S14_R1_001
20160825_B3_CM3415-2_S15_R1_001,20160825_B3_CM3415-2_S15_R1_001
20160825_B4_CM3415-2_S16_R1_001,20160825_B4_CM3415-2_S16_R1_001
20160825_B5_CM3415-2_S17_R1_001,20160825_B5_CM3415-2_S17_R1_001
20160825_B6_CM3415-2_S18_R1_001,20160825_B6_CM3415-2_S18_R1_001
20160825_B7_CM3415-2_S19_R1_001,20160825_B7_CM3415-2_S19_R1_001
20160825_B8_CM3415-2_S20_R1_001,20160825_B8_CM3415-2_S20_R1_001
20160825_B9_CM3415-2_S21_R1_001,20160825_B9_CM3415-2_S21_R1_001
20160825_C10_CM3415-2_S34_R1_001,20160825_C10_CM3415-2_S34_R1_001
20160825_C11_CM3415-2_S35_R1_001,20160825_C11_CM3415-2_S35_R1_001
20160825_C12_CM3415-2_S36_R1_001,20160825_C12_CM3415-2_S36_R1_001
20160825_C1_CM3415-2_S25_R1_001,20160825_C1_CM3415-2_S25_R1_001
20160825_C2_CM3415-2_S26_R1_001,20160825_C2_CM3415-2_S26_R1_001
20160825_C3_CM3415-2_S27_R1_001,20160825_C3_CM3415-2_S27_R1_001
20160825_C4_CM3415-2_S28_R1_001,20160825_C4_CM3415-2_S28_R1_001
20160825_C5_CM3415-2_S29_R1_001,20160825_C5_CM3415-2_S29_R1_001
20160825_C6_CM3415-2_S30_R1_001,20160825_C6_CM3415-2_S30_R1_001
20160825_C7_CM3415-2_S31_R1_001,20160825_C7_CM3415-2_S31_R1_001
20160825_C8_CM3415-2_S32_R1_001,20160825_C8_CM3415-2_S32_R1_001
20160825_C9_CM3415-2_S33_R1_001,20160825_C9_CM3415-2_S33_R1_001
20160825_D10_CM3415-2_S46_R1_001,20160825_D10_CM3415-2_S46_R1_001
20160825_D11_CM3415-2_S47_R1_001,20160825_D11_CM3415-2_S47_R1_001
20160825_D12_CM3415-2_S48_R1_001,20160825_D12_CM3415-2_S48_R1_001
20160825_D1_CM3415-2_S37_R1_001,20160825_D1_CM3415-2_S37_R1_001
20160825_D2_CM3415-2_S38_R1_001,20160825_D2_CM3415-2_S38_R1_001
20160825_D3_CM3415-2_S39_R1_001,20160825_D3_CM3415-2_S39_R1_001
20160825_D4_CM3415-2_S40_R1_001,20160825_D4_CM3415-2_S40_R1_001
20160825_D5_CM3415-2_S41_R1_001,20160825_D5_CM3415-2_S41_R1_001
20160825_D6_CM3415-2_S42_R1_001,20160825_D6_CM3415-2_S42_R1_001
20160825_D7_CM3415-2_S43_R1_001,20160825_D7_CM3415-2_S43_R1_001
20160825_D8_CM3415-2_S44_R1_001,20160825_D8_CM3415-2_S44_R1_001
20160825_D9_CM3415-2_S45_R1_001,20160825_D9_CM3415-2_S45_R1_001
20160825_E10_CM3415-2_S58_R1_001,20160825_E10_CM3415-2_S58_R1_001
20160825_E11_CM3415-2_S59_R1_001,20160825_E11_CM3415-2_S59_R1_001
20160825_E12_CM3415-2_S60_R1_001,20160825_E12_CM3415-2_S60_R1_001
20160825_E1_CM3415-2_S49_R1_001,20160825_E1_CM3415-2_S49_R1_001
20160825_E2_CM3415-2_S50_R1_001,20160825_E2_CM3415-2_S50_R1_001
20160825_E3_CM3415-2_S51_R1_001,20160825_E3_CM3415-2_S51_R1_001
20160825_E4_CM3415-2_S52_R1_001,20160825_E4_CM3415-2_S52_R1_001
20160825_E5_CM3415-2_S53_R1_001,20160825_E5_CM3415-2_S53_R1_001
20160825_E6_CM3415-2_S54_R1_001,20160825_E6_CM3415-2_S54_R1_001
20160825_E7_CM3415-2_S55_R1_001,20160825_E7_CM3415-2_S55_R1_001
20160825_E8_CM3415-2_S56_R1_001,20160825_E8_CM3415-2_S56_R1_001
20160825_E9_CM3415-2_S57_R1_001,20160825_E9_CM3415-2_S57_R1_001
20160825_F10_CM3415-2_S70_R1_001,20160825_F10_CM3415-2_S70_R1_001
20160825_F11_CM3415-2_S71_R1_001,20160825_F11_CM3415-2_S71_R1_001
20160825_F12_CM3415-2_S72_R1_001,20160825_F12_CM3415-2_S72_R1_001
20160825_F1_CM3415-2_S61_R1_001,20160825_F1_CM3415-2_S61_R1_001
20160825_F2_CM3415-2_S62_R1_001,20160825_F2_CM3415-2_S62_R1_001
20160825_F3_CM3415-2_S63_R1_001,20160825_F3_CM3415-2_S63_R1_001
20160825_F4_CM3415-2_S64_R1_001,20160825_F4_CM3415-2_S64_R1_001
20160825_F5_CM3415-2_S65_R1_001,20160825_F5_CM3415-2_S65_R1_001
20160825_F6_CM3415-2_S66_R1_001,20160825_F6_CM3415-2_S66_R1_001
20160825_F7_CM3415-2_S67_R1_001,20160825_F7_CM3415-2_S67_R1_001
20160825_F8_CM3415-2_S68_R1_001,20160825_F8_CM3415-2_S68_R1_001
20160825_F9_CM3415-2_S69_R1_001,20160825_F9_CM3415-2_S69_R1_001
20160825_G10_CM3415-2_S82_R1_001,20160825_G10_CM3415-2_S82_R1_001
20160825_G11_CM3415-2_S83_R1_001,20160825_G11_CM3415-2_S83_R1_001
20160825_G12_CM3415-2_S84_R1_001,20160825_G12_CM3415-2_S84_R1_001
20160825_G1_CM3415-2_S73_R1_001,20160825_G1_CM3415-2_S73_R1_001
20160825_G2_CM3415-2_S74_R1_001,20160825_G2_CM3415-2_S74_R1_001
20160825_G3_CM3415-2_S75_R1_001,20160825_G3_CM3415-2_S75_R1_001
20160825_G4_CM3415-2_S76_R1_001,20160825_G4_CM3415-2_S76_R1_001
