samplename,description
20170115_10_CM3908_S10_R1_001,20170115_10_CM3908_S10_R1_001
20170115_11_CM3908_S11_R1_001,20170115_11_CM3908_S11_R1_001
20170115_12_CM3908_S12_R1_001,20170115_12_CM3908_S12_R1_001
20170115_13_CM3908_S13_R1_001,20170115_13_CM3908_S13_R1_001
20170115_14_CM3908_S14_R1_001,20170115_14_CM3908_S14_R1_001
20170115_15_CM3908_S15_R1_001,20170115_15_CM3908_S15_R1_001
20170115_16_CM3908_S16_R1_001,20170115_16_CM3908_S16_R1_001
20170115_17_CM3908_S17_R1_001,20170115_17_CM3908_S17_R1_001
20170115_18_CM3908_S18_R1_001,20170115_18_CM3908_S18_R1_001
20170115_19_CM3908_S19_R1_001,20170115_19_CM3908_S19_R1_001
20170115_1_CM3908_S1_R1_001,20170115_1_CM3908_S1_R1_001
20170115_20_CM3908_S20_R1_001,20170115_20_CM3908_S20_R1_001
20170115_21_CM3908_S21_R1_001,20170115_21_CM3908_S21_R1_001
20170115_22_CM3908_S22_R1_001,20170115_22_CM3908_S22_R1_001
20170115_23_CM3908_S23_R1_001,20170115_23_CM3908_S23_R1_001
20170115_24_CM3908_S24_R1_001,20170115_24_CM3908_S24_R1_001
20170115_25_CM3908_S25_R1_001,20170115_25_CM3908_S25_R1_001
20170115_26_CM3908_S26_R1_001,20170115_26_CM3908_S26_R1_001
20170115_27_CM3908_S27_R1_001,20170115_27_CM3908_S27_R1_001
20170115_28_CM3908_S28_R1_001,20170115_28_CM3908_S28_R1_001
20170115_29_CM3908_S29_R1_001,20170115_29_CM3908_S29_R1_001
20170115_2_CM3908_S2_R1_001,20170115_2_CM3908_S2_R1_001
20170115_30_CM3908_S30_R1_001,20170115_30_CM3908_S30_R1_001
20170115_31_CM3908_S31_R1_001,20170115_31_CM3908_S31_R1_001
20170115_32_CM3908_S32_R1_001,20170115_32_CM3908_S32_R1_001
20170115_33_CM3908_S33_R1_001,20170115_33_CM3908_S33_R1_001
20170115_34_CM3908_S34_R1_001,20170115_34_CM3908_S34_R1_001
20170115_35_CM3908_S35_R1_001,20170115_35_CM3908_S35_R1_001
20170115_36_CM3908_S36_R1_001,20170115_36_CM3908_S36_R1_001
20170115_3_CM3908_S3_R1_001,20170115_3_CM3908_S3_R1_001
20170115_4_CM3908_S4_R1_001,20170115_4_CM3908_S4_R1_001
20170115_5_CM3908_S5_R1_001,20170115_5_CM3908_S5_R1_001
20170115_6_CM3908_S6_R1_001,20170115_6_CM3908_S6_R1_001
20170115_7_CM3908_S7_R1_001,20170115_7_CM3908_S7_R1_001
20170115_8_CM3908_S8_R1_001,20170115_8_CM3908_S8_R1_001
20170115_9_CM3908_S9_R1_001,20170115_9_CM3908_S9_R1_001
