samplename,description
11_S11.R,11_S11.R
12_S12.R,12_S12.R
13_S13.R,13_S13.R
14_S14.R,14_S14.R
15_S15.R,15_S15.R
16_S16.R,16_S16.R
17_S17.R,17_S17.R
18_S18.R,18_S18.R
19_S19.R,19_S19.R
19-tech-replic_S20.R,19-tech-replic_S20.R
1_S1.R,1_S1.R
20_S1.R,20_S1.R
21_S2.R,21_S2.R
22_S3.R,22_S3.R
23_S4.R,23_S4.R
24_S5.R,24_S5.R
25_S6.R,25_S6.R
26_S7.R,26_S7.R
27_S8.R,27_S8.R
28_S9.R,28_S9.R
29_S10.R,29_S10.R
2-bio-replic_S17.R,2-bio-replic_S17.R
2_S2.R,2_S2.R
30_S11.R,30_S11.R
31_S12.R,31_S12.R
32_S13.R,32_S13.R
33_S14.R,33_S14.R
34_S15.R,34_S15.R
35_S16.R,35_S16.R
3_S3.R,3_S3.R
4_S4.R,4_S4.R
5_S5.R,5_S5.R
6_S6.R,6_S6.R
7_S7.R,7_S7.R
8_S8.R,8_S8.R
8-tech-replic_S18.R,8-tech-replic_S18.R
9_S9.R,9_S9.R
9-tech-replic_S19.R,9-tech-replic_S19.R
